timestamp,open,high,low,close,volume,trade_count,vwap
2020-07-27,321.625,323.39,320.82,323.26,647693,4768,322.48475
2020-07-28,322.57,323.635,320.85,321.24,521475,4238,322.427003
2020-07-29,322.12,325.705,322.12,325.16,600377,4808,324.227394
2020-07-30,321.71,324.385,319.64,323.96,612074,4800,322.353494
2020-07-31,325.9,326.6,321.34,326.54,1135945,7509,324.032081
2020-08-03,328.35,329.615,327.745,328.76,576077,5097,328.910612
2020-08-04,328.15,330,327.96,330,658108,6232,329.0526
2020-08-05,331.43,332.38,331.19,332.08,505770,4547,331.891162
2020-08-06,331.46,334.46,331.17,334.28,637928,5025,333.014743
2020-08-07,333.26,334.69,332.31,334.6,646217,4966,333.728027
2020-08-10,335.055,335.765,332.99,335.52,503468,5033,335.007662
2020-08-11,336.95,337.53,332.05,332.92,765407,5384,335.14944
2020-08-12,335.45,338.26,335.45,337.42,751172,4353,337.300224
2020-08-13,336.66,338.2,335.91,336.88,495840,3942,337.297391
2020-08-14,336.46,337.39,335.74,336.86,397381,3976,336.589212
2020-08-17,337.945,338.335,337.515,337.86,379669,3296,337.923049
2020-08-18,338.35,339.08,336.67,338.63,624322,4163,338.442495
2020-08-19,339.045,339.61,336.66,337.28,957875,4940,338.475064
2020-08-20,335.39,338.78,335.22,338.22,557824,5170,337.555004
2020-08-21,337.92,339.72,337.57,339.44,560454,4667,338.965359
2020-08-24,342.13,342.97,341.1,342.97,551451,4700,341.942787
2020-08-25,343.545,344.18,342.305,344.12,597403,4387,343.235499
2020-08-26,344.74,347.84,344.17,347.61,538806,4006,346.38649
2020-08-27,348.535,349.86,346.57,348.32,828795,5258,348.617593
2020-08-28,349.44,350.71,348.235,350.54,538160,4638,349.461013
2020-08-31,350.35,351.28,349.125,349.34,745582,5266,350.346388
2020-09-01,350.205,352.66,349.27,352.59,839295,7430,351.138059
2020-09-02,354.67,358.69,353.46,357.71,896884,6081,355.886068
2020-09-03,355.89,356.37,342.61,345.42,2064568,12415,347.366129
2020-09-04,345.8,347.76,334.9,342.61,1242878,8029,340.720139
2020-09-08,336.67,338,332.89,333.26,969669,6860,335.367561
2020-09-09,337.61,342.44,336.67,339.9,716556,5124,340.113816
2020-09-10,341.83,342.48,332.89,334,869568,6086,337.136589
2020-09-11,335.8,336.88,331.01,334.02,874751,6291,334.067433
2020-09-14,337.56,340.3,336.99,338.42,536100,5290,339.073123
2020-09-15,341.28,341.99,339.02,340.15,483504,4334,340.900312
2020-09-16,341.6,343.05,338.58,338.81,782760,5017,340.666201
2020-09-17,333.57,337.655,333,335.87,937446,6499,334.982683
2020-09-18,335.38,335.49,327.975,330.55,1218861,6429,331.270791
2020-09-21,325.68,327.09,321.75,327,1175907,8349,324.25228
2020-09-22,328.55,330.9,325.96,330.27,548236,4232,328.871055
2020-09-23,330.905,331.17,322.12,322.67,773794,5465,325.865344
2020-09-24,321.21,326.77,319.82,323.53,999033,7314,323.453049
2020-09-25,322.69,329.55,321.69,328.73,744169,5828,326.244766
2020-09-28,333.23,334.94,332.16,334.16,677013,5282,333.776364
2020-09-29,333.97,334.735,331.695,332.45,558608,4691,333.054236
2020-09-30,333.235,338.26,332.95,334.9,1383055,8172,335.844302
2020-10-01,337.655,338.74,335.04,337.08,733040,5596,336.670874
2020-10-02,331.58,335.885,331.21,333.82,956452,5661,334.361617
2020-10-05,336.07,339.95,336.07,339.72,423785,3856,338.409996
2020-10-06,339.91,342.155,334.42,334.92,866491,6489,337.767753
2020-10-07,338.12,341.63,338.1,340.72,400362,3893,340.147358
2020-10-08,342.89,343.83,341.86,343.74,378697,3546,343.152568
2020-10-09,345.545,347.345,344.905,346.84,444378,3472,346.241027
2020-10-12,349.6,354.01,349.18,352.37,494638,4139,352.081648
2020-10-13,352.35,352.35,349.1,350.18,554532,4484,350.978012
2020-10-14,350.74,351.91,347.14,347.88,386331,3419,349.25826
2020-10-15,343.71,347.98,343.15,347.46,467653,4139,345.890997
2020-10-16,349.03,350.675,347.19,347.32,650101,6304,348.959011
2020-10-19,348.79,349.29,341.105,341.96,679620,6538,344.550064
2020-10-20,343.42,346.87,342.72,343.38,615695,5121,344.38102
2020-10-21,343.33,345.61,342.41,342.72,639536,4956,343.909406
2020-10-22,342.97,345.2,340.67,344.635,520791,4155,343.369692
2020-10-23,345.91,345.97,343.21,345.65,436313,3889,344.817576
2020-10-26,342.12,342.98,335.66,339.45,1011587,7229,339.121113
2020-10-27,339.755,340.07,338.03,338.26,614706,5279,338.965638
2020-10-28,332.1,332.835,326.14,326.7,1448249,9835,328.864418
2020-10-29,326.91,333.35,325.11,329.95,1101572,6408,329.763714
2020-10-30,328.25,329.64,322.635,326.78,1296720,6982,324.864321
2020-11-02T05:00:00Z,330.2,332.3,327.25,330.22,799081,6699,329.687431
2020-11-03T05:00:00Z,333.695,338.24,333.25,335.97,916626,6531,336.427812
2020-11-04T05:00:00Z,340.86,347.905,339.62,343.46,1941569,10030,344.344313
2020-11-05T05:00:00Z,349.275,352.17,348.9,350.33,1143648,6406,350.540909
2020-11-06T05:00:00Z,349.92,351.45,347.74,350.16,603084,5429,350.030748
2020-11-09T05:00:00Z,363.97,364.315,354.08,354.55,940070,7955,359.921758
2020-11-10T05:00:00Z,353.52,355.08,350.595,354.1,698359,6721,353.534009
2020-11-11T05:00:00Z,356.39,357.53,355.09,356.69,567428,4704,356.282076
2020-11-12T05:00:00Z,355.57,356.345,351.29,353.22,794840,5940,353.323108
2020-11-13T05:00:00Z,355.27,358.88,354.745,357.94,744824,5514,356.894232
2020-11-16T05:00:00Z,361.1,362.46,359.63,362.43,783943,6740,361.209433
2020-11-17T05:00:00Z,359.985,361.875,358.375,360.67,827448,5133,360.234714
2020-11-18T05:00:00Z,360.98,361.5,356.25,356.25,1026905,6622,359.450572
2020-11-19T05:00:00Z,355.51,358.16,354.33,357.85,965976,5359,356.403432
2020-11-20T05:00:00Z,357.48,357.68,355.28,355.38,844641,5601,356.710302
2020-11-23T05:00:00Z,357.27,358.69,354.9,357.51,732916,4879,356.881643
2020-11-24T05:00:00Z,360.26,363.76,359.31,363.2,1316995,7763,362.169743
2020-11-25T05:00:00Z,363.13,363.16,361.51,362.63,637659,5258,362.398027
2020-11-27T05:00:00Z,363.96,364.165,362.59,363.7,309433,2871,363.616538
2020-11-30T05:00:00Z,362.8,362.965,359.2,362.32,1019085,5603,361.216138
2020-12-01T05:00:00Z,365.56,367.645,364.98,365.96,846449,6447,366.513813
2020-12-02T05:00:00Z,364.82,366.92,364.23,366.7,435413,4291,365.95981
2020-12-03T05:00:00Z,366.69,368.165,365.51,366.7,588550,5101,366.93114
2020-12-04T05:00:00Z,367.31,369.82,367.22,369.82,535394,3890,368.842084
2020-12-07T05:00:00Z,369.035,369.61,367.73,369.04,713275,5190,368.781437
2020-12-08T05:00:00Z,367.69,370.76,367.68,370.12,701698,5511,369.431329
2020-12-09T05:00:00Z,370.89,371.02,365.96,367,1124314,9572,368.114748
2020-12-10T05:00:00Z,365.375,367.8,364.45,366.67,943872,5492,366.77265
2020-12-11T05:00:00Z,364.96,366.58,363.29,366.23,633441,5364,365.093898
2020-12-14T05:00:00Z,368.61,369.76,364.52,364.68,840050,5749,366.932511
2020-12-15T05:00:00Z,367.44,369.57,365.92,369.57,853271,5527,368.096333
2020-12-16T05:00:00Z,369.84,371.14,368.92,370.1,586993,4650,370.114642
2020-12-17T05:00:00Z,371.95,372.43,371.055,372.18,812657,7213,371.833988
2020-12-18T05:00:00Z,370.99,371.145,367.055,369.11,1382373,10863,368.875129
2020-12-21T05:00:00Z,364.97,368.73,362.1,367.86,779901,6005,366.164144
2020-12-22T05:00:00Z,368.2,368.325,366.115,367.1,969603,5531,367.163551
2020-12-23T05:00:00Z,368.27,369.6,367.41,367.58,500024,4328,368.814262
2020-12-24T05:00:00Z,368.09,368.99,367.47,368.98,170257,1570,368.412211
2020-12-28T05:00:00Z,371.77,372.575,371.11,372.13,298759,3899,371.993758
2020-12-29T05:00:00Z,373.77,373.99,370.87,371.46,720211,5000,371.93142
2020-12-30T05:00:00Z,372.34,373.08,371.6,371.99,410703,3045,372.320038
2020-12-31T05:00:00Z,371.8,374.64,371.25,373.85,1056576,8638,373.304402
2021-01-04T05:00:00Z,375.3,375.43,364.87,368.86,1303127,9398,368.598424
2021-01-05T05:00:00Z,368.27,372.435,368.25,371.36,662135,6890,370.459697
2021-01-06T05:00:00Z,369.52,376.96,369.19,373.64,1592371,9120,374.370376
2021-01-07T05:00:00Z,376.13,379.87,375.92,378.96,911285,6520,378.444949
2021-01-08T05:00:00Z,380.58,381.45,377.11,381.24,591705,5229,379.93323
2021-01-11T05:00:00Z,377.87,380.54,377.73,378.83,577420,6333,379.035423
2021-01-12T05:00:00Z,378.9,379.84,376.4,378.74,577676,5382,378.702141
2021-01-13T05:00:00Z,378.7,380.855,377.87,379.79,526284,5325,379.733163
2021-01-14T05:00:00Z,380.68,381.12,378.105,378.52,483295,4272,379.685156
2021-01-15T05:00:00Z,376.72,377.57,373.785,375.66,872509,6029,375.958147
2021-01-19T05:00:00Z,378.35,379.225,376.845,378.6,569045,5797,378.378852
2021-01-20T05:00:00Z,381.105,384.79,380.74,383.84,609604,6369,383.232678
2021-01-21T05:00:00Z,384.48,384.94,383.25,384.17,411993,4009,384.296147
2021-01-22T05:00:00Z,382.25,384.06,381.89,382.81,642368,6401,383.167958
2021-01-25T05:00:00Z,383.67,384.76,378.46,384.41,744617,5506,382.37124
2021-01-26T05:00:00Z,385.405,385.81,383.56,383.73,602355,5238,384.427448
2021-01-27T05:00:00Z,380.23,380.25,372.04,374.4,2605623,14576,375.974241
2021-01-28T05:00:00Z,376.35,381.91,376.12,377.49,1816987,9134,379.536009
2021-01-29T05:00:00Z,375.6,376.59,368.38,370.01,2590391,12908,371.893243
2021-02-01T05:00:00Z,373.81,377.34,371.48,376.19,988296,8228,375.36953
2021-02-02T05:00:00Z,379.64,383.165,379.625,381.39,1071995,7187,382.131387
2021-02-03T05:00:00Z,382.49,383.68,380.5,381.86,848653,6542,382.500516
2021-02-04T05:00:00Z,383.02,386.21,382.785,386.16,820106,7601,384.798299
2021-02-05T05:00:00Z,388.2,388.46,386.485,387.65,728912,7983,387.600523
2021-02-08T05:00:00Z,389.37,390.54,388.36,390.49,696140,7012,389.417992
2021-02-09T05:00:00Z,389.63,390.89,389.22,390.26,734096,9635,390.316152
2021-02-10T05:00:00Z,392.11,392.24,387.51,390.09,889354,8830,389.928755
2021-02-11T05:00:00Z,391.32,391.69,388.12,390.7,639771,5834,390.193411
2021-02-12T05:00:00Z,389.845,392.885,389.8,392.6,704724,6643,391.511845
2021-02-16T05:00:00Z,393.95,394.15,391.58,392.29,724095,7211,392.905427
2021-02-17T05:00:00Z,390.41,392.63,389.38,392.4,586564,5942,391.068497
2021-02-18T05:00:00Z,389.56,391.49,387.75,390.75,811480,7043,389.975394
2021-02-19T05:00:00Z,392.15,392.36,389.57,390.05,1035965,8099,390.843255
2021-02-22T05:00:00Z,387.07,389.6,386.795,387.14,979219,7131,387.866988
2021-02-23T05:00:00Z,384.66,388.92,380.24,387.36,1834098,11825,385.142361
2021-02-24T05:00:00Z,386.3,392.21,385.285,391.76,1338847,10247,390.047602
2021-02-25T05:00:00Z,390.46,391.84,380.79,382.32,2548620,13078,384.949976
2021-02-26T05:00:00Z,384.36,385.54,378.26,380.31,1722012,11188,382.553993
2021-03-01T05:00:00Z,385.66,390.9,385.63,389.5,1443159,10518,388.790672
2021-03-02T05:00:00Z,389.815,390.01,386,386.5,954034,6976,388.236727
2021-03-03T05:00:00Z,385.77,386.83,381.315,381.43,1492972,10300,384.011774
